Node,Type,Degree,Degree_Centrality,Betweenness_Centrality
dnaN,gene,1,0.003703704,0
Radiation resistance,category,132,0.488888889,0.238083437
recF,gene,1,0.003703704,0
papD,gene,1,0.003703704,0
Heat resistance,category,29,0.107407407,0.011179953
resA,gene,1,0.003703704,0
mntH_1,gene,1,0.003703704,0
Salt tolerance,category,16,0.059259259,0.00330442
egtB,gene,1,0.003703704,0
garB,gene,1,0.003703704,0
Oxidative stress,category,57,0.211111111,0.043948781
gloB,gene,1,0.003703704,0
dnaQ,gene,1,0.003703704,0
gloA,gene,1,0.003703704,0
recN,gene,1,0.003703704,0
holA,gene,1,0.003703704,0
ydbC,gene,1,0.003703704,0
yajL,gene,1,0.003703704,0
cspE,gene,1,0.003703704,0
Cold resistance,category,7,0.025925926,0.000578273
hchA,gene,1,0.003703704,0
trxA_1,gene,1,0.003703704,0
hscA,gene,1,0.003703704,0
fdx_1,gene,1,0.003703704,0
gfa,gene,1,0.003703704,0
flhA,gene,1,0.003703704,0
fghA,gene,1,0.003703704,0
uvrB,gene,1,0.003703704,0
uvrC,gene,1,0.003703704,0
alkT,gene,1,0.003703704,0
mntH_2,gene,1,0.003703704,0
recA,gene,1,0.003703704,0
tsaA,gene,1,0.003703704,0
recO,gene,1,0.003703704,0
yceM,gene,1,0.003703704,0
dnaE,gene,1,0.003703704,0
bcp,gene,1,0.003703704,0
gstB_1,gene,1,0.003703704,0
fdxB,gene,1,0.003703704,0
fer1,gene,1,0.003703704,0
fdx_2,gene,1,0.003703704,0
hspA,gene,1,0.003703704,0
nuoL_1,gene,1,0.003703704,0
dinB_1,gene,1,0.003703704,0
acoA_1,gene,1,0.003703704,0
copZ,gene,1,0.003703704,0
dnaE2,gene,1,0.003703704,0
sodB,gene,1,0.003703704,0
holB,gene,1,0.003703704,0
dnaX,gene,1,0.003703704,0
fdx_3,gene,1,0.003703704,0
kefC,gene,1,0.003703704,0
clpB,gene,1,0.003703704,0
trxC_1,gene,1,0.003703704,0
nuoM_1,gene,1,0.003703704,0
dmsD,gene,1,0.003703704,0
uspF,gene,1,0.003703704,0
General stress response,category,22,0.081481481,0.006361008
holC,gene,1,0.003703704,0
cpo,gene,1,0.003703704,0
trxC_2,gene,1,0.003703704,0
grxC,gene,1,0.003703704,0
nuoB_1,gene,1,0.003703704,0
gstB_2,gene,1,0.003703704,0
nuoN,gene,1,0.003703704,0
nuoM_2,gene,1,0.003703704,0
nuoL_2,gene,1,0.003703704,0
nuoK,gene,1,0.003703704,0
nuoJ,gene,1,0.003703704,0
nuoI,gene,1,0.003703704,0
nuoH,gene,1,0.003703704,0
nqo3,gene,1,0.003703704,0
nuoF,gene,1,0.003703704,0
nqo2,gene,1,0.003703704,0
nuoD,gene,1,0.003703704,0
nuoC1,gene,1,0.003703704,0
nuoB_2,gene,1,0.003703704,0
ndhC,gene,1,0.003703704,0
dinB_2,gene,1,0.003703704,0
dnaJ,gene,1,0.003703704,0
dnaK,gene,1,0.003703704,0
yciK_1,gene,1,0.003703704,0
fdx_4,gene,1,0.003703704,0
yghU,gene,1,0.003703704,0
uvrA,gene,1,0.003703704,0
trxA_2,gene,1,0.003703704,0
crcB,gene,1,0.003703704,0
gsiC,gene,1,0.003703704,0
surA,gene,1,0.003703704,0
grxD,gene,1,0.003703704,0
gshB,gene,1,0.003703704,0
