locus_id,gene,product,EC_number,extremophile
NC_011761.1,dnaN,DNA polymerase III subunit beta,2.7.7.7,Acidithiobacillus
NC_011761.1,recF,DNA replication and repair protein RecF,,Acidithiobacillus
NC_011761.1,gyrB,DNA gyrase subunit B,5.99.1.3,Acidithiobacillus
NC_011761.1,pyrK,Dihydroorotate dehydrogenase B (NAD(+))%2C electron transfer subunit,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,papD,Chaperone protein PapD precursor,,Acidithiobacillus
NC_011761.1,elfC,putative outer membrane usher protein ElfC precursor,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,minE_1,Cell division topological specificity factor,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,minE_2,Cell division topological specificity factor,,Acidithiobacillus
NC_011761.1,minD,Septum site-determining protein MinD,,Acidithiobacillus
NC_011761.1,minC,Septum site-determining protein MinC,,Acidithiobacillus
NC_011761.1,,Ferredoxin 1,,Acidithiobacillus
NC_011761.1,topA_1,DNA topoisomerase 1,5.99.1.2,Acidithiobacillus
NC_011761.1,smg,Protein Smg,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,def_1,Peptide deformylase,3.5.1.88,Acidithiobacillus
NC_011761.1,fmt,Methionyl-tRNA formyltransferase,2.1.2.9,Acidithiobacillus
NC_011761.1,rsmB,Ribosomal RNA small subunit methyltransferase B,2.1.1.176,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,zraS_1,Sensor protein ZraS,2.7.13.3,Acidithiobacillus
NC_011761.1,zraR_1,Transcriptional regulatory protein ZraR,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,zraS_2,Sensor protein ZraS,2.7.13.3,Acidithiobacillus
NC_011761.1,glnG_1,Nitrogen regulation protein NR(I),,Acidithiobacillus
NC_011761.1,bamB_1,Outer membrane protein assembly factor BamB precursor,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,mnmE,tRNA modification GTPase MnmE,3.6.-.-,Acidithiobacillus
NC_011761.1,yidC,Membrane protein insertase YidC,,Acidithiobacillus
NC_011761.1,yidD,Putative membrane protein insertion efficiency factor,,Acidithiobacillus
NC_011761.1,rnpA,Ribonuclease P protein component,3.1.26.5,Acidithiobacillus
NC_011761.1,rpmH,50S ribosomal protein L34,,Acidithiobacillus
NC_011761.1,,putative ABC transporter ATP-binding protein,,Acidithiobacillus
NC_011761.1,hcaR,Hca operon transcriptional activator,,Acidithiobacillus
NC_011761.1,emrK,putative multidrug resistance protein EmrK,,Acidithiobacillus
NC_011761.1,mdtP_1,Multidrug resistance outer membrane protein MdtP precursor,,Acidithiobacillus
NC_011761.1,emrB_1,Multidrug export protein EmrB,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,sbpA_1,Sulfate-binding protein precursor,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,glpE_1,Thiosulfate sulfurtransferase GlpE,2.8.1.1,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,resA,Thiol-disulfide oxidoreductase ResA,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,sbpA_2,Sulfate-binding protein precursor,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,aspS,Aspartate--tRNA ligase,6.1.1.12,Acidithiobacillus
NC_011761.1,nadA,Quinolinate synthase A,2.5.1.72,Acidithiobacillus
NC_011761.1,plsC_1,1-acyl-sn-glycerol-3-phosphate acyltransferase,2.3.1.-,Acidithiobacillus
NC_011761.1,pmpR,Transcriptional regulatory protein PmpR,,Acidithiobacillus
NC_011761.1,ruvC,Crossover junction endodeoxyribonuclease RuvC,3.1.22.4,Acidithiobacillus
NC_011761.1,ruvA,Holliday junction ATP-dependent DNA helicase RuvA,3.6.4.12,Acidithiobacillus
